,CountyName,total_population,total_age_population,total_race_population,hispanic_or_latino,median_household_income,bachelors_degree,masters_degree,professional_degree,doctorate_degree,labor_force,unemployed,median_rent,median_home_value,same_house_1yr_ago,moved_from_same_state,moved_from_different_state,owner_occupied,renter_occupied,state_fips,county_fips
826,"Fremont County, Iowa",6570,6570,6570,213,73750,810,133,33,19,3104,30,753,147500,5887,11,6,2229,531,19,071
827,"Greene County, Iowa",8722,8722,8722,284,59159,915,263,43,13,4415,143,774,140500,7513,0,0,2917,1011,19,073
828,"Grundy County, Iowa",12352,12352,12352,189,83617,1583,411,53,74,6493,142,777,180500,10923,5,0,4270,815,19,075
829,"Guthrie County, Iowa",10646,10646,10646,310,79981,1262,387,149,66,5585,184,823,163900,9591,25,0,3828,759,19,077
830,"Hamilton County, Iowa",14893,14893,14893,1438,71750,1685,475,103,35,7450,294,853,132300,13613,13,0,4659,1658,19,079
831,"Hancock County, Iowa",10718,10718,10718,620,70212,1309,225,72,38,5557,124,784,129300,9451,0,0,3782,832,19,081
832,"Hardin County, Iowa",16729,16729,16729,848,64906,1887,514,81,106,8558,316,814,113000,15166,106,9,5139,1871,19,083
833,"Harrison County, Iowa",14645,14645,14645,305,77027,1591,462,106,7,7618,210,854,165300,13449,14,0,4618,1386,19,085
834,"Henry County, Iowa",20228,20228,20228,1092,64604,2124,771,60,161,9722,213,770,148600,17543,39,6,5640,1977,19,087
835,"Howard County, Iowa",9459,9459,9459,288,67336,946,205,24,14,4737,78,699,133900,8316,9,0,2813,859,19,089
836,"Humboldt County, Iowa",9573,9573,9573,492,66994,985,242,40,14,4786,148,731,146900,8155,14,0,3177,1059,19,091
837,"Ida County, Iowa",6944,6944,6944,271,62841,764,168,25,19,3603,70,669,108800,6029,0,0,2322,672,19,093
838,"Iowa County, Iowa",16547,16547,16547,552,72185,2027,572,114,101,8799,213,722,189800,14925,0,0,5211,1638,19,095
839,"Jackson County, Iowa",19429,19429,19429,288,71605,1907,515,80,28,9825,461,800,170000,17319,5,0,6523,1780,19,097
840,"Jasper County, Iowa",37864,37864,37864,1110,70128,3553,1252,247,252,19063,934,822,176800,33250,116,16,11035,3713,19,099
841,"Jefferson County, Iowa",15676,15676,15676,632,56824,2746,1731,238,182,8086,428,881,161200,13203,570,38,4481,2397,19,101
842,"Johnson County, Iowa",154881,154881,154881,10312,74721,28199,12810,4518,4837,89119,3255,1104,293100,117252,1356,286,36606,25608,19,103
843,"Jones County, Iowa",20799,20799,20799,516,73071,2158,744,62,154,10212,297,759,183400,18380,4,0,6543,1566,19,105
844,"Keokuk County, Iowa",9964,9964,9964,221,60856,796,261,36,15,4741,169,822,112200,8836,56,0,3206,859,19,107
845,"Kossuth County, Iowa",14610,14610,14610,612,65656,1691,441,99,69,7397,157,859,135100,12829,12,5,4899,1603,19,109
846,"Lee County, Iowa",33175,33175,33175,1134,59803,3714,974,166,142,15466,615,814,123600,29422,0,0,10800,3505,19,111
847,"Linn County, Iowa",229463,229463,229463,9120,76421,36831,13257,3054,1411,124976,4605,915,204400,197770,667,95,69685,25366,19,113
848,"Louisa County, Iowa",10710,10710,10710,1730,80223,1040,127,52,16,5533,213,797,137600,9880,63,33,3319,824,19,115
849,"Lucas County, Iowa",8685,8685,8685,239,67921,605,206,50,22,4243,160,738,117000,7524,4,4,2979,693,19,117
850,"Lyon County, Iowa",12087,12087,12087,421,72881,1303,197,67,39,6159,145,802,215600,10927,17,0,3704,740,19,119
851,"Madison County, Iowa",16760,16760,16760,367,89542,2201,562,77,70,9123,244,938,236900,14885,26,0,5384,1241,19,121
852,"Mahaska County, Iowa",22045,22045,22045,528,69019,2490,633,143,97,11625,383,821,140900,19445,59,5,6031,2860,19,123
853,"Marion County, Iowa",33551,33551,33551,748,78059,5138,1545,374,332,17219,323,880,211100,28559,68,0,10425,2984,19,125
854,"Marshall County, Iowa",39971,39971,39971,9518,72785,3874,1458,207,149,20647,834,860,134100,35392,329,0,11400,4146,19,127
855,"Mills County, Iowa",14563,14563,14563,525,87810,2277,744,172,81,7165,198,888,228700,12473,7,5,4503,846,19,129
856,"Mitchell County, Iowa",10548,10548,10548,216,68704,1201,373,39,30,5616,53,739,164100,9208,94,0,3580,897,19,131
857,"Monona County, Iowa",8619,8619,8619,217,62944,783,273,59,38,4264,89,795,122600,7889,1,0,2974,917,19,133
858,"Monroe County, Iowa",7546,7546,7546,58,72518,779,166,53,43,3751,110,787,135900,6555,25,9,2507,484,19,135
859,"Montgomery County, Iowa",10254,10254,10254,177,63190,994,279,73,8,4947,127,782,109900,8934,3,0,3300,1309,19,137
860,"Muscatine County, Iowa",42735,42735,42735,7878,69512,4632,1419,249,256,22057,815,966,172400,37609,25,0,12854,4316,19,139
861,"O'Brien County, Iowa",14103,14103,14103,1009,68216,1689,414,51,13,7095,85,770,158900,12118,74,8,4477,1314,19,141
862,"Osceola County, Iowa",6114,6114,6114,618,69138,470,131,44,16,3161,155,796,123800,5662,0,0,2032,574,19,143
863,"Page County, Iowa",15168,15168,15168,498,57752,1471,458,131,67,6907,394,731,120000,12609,43,0,4313,1848,19,145
864,"Palo Alto County, Iowa",8902,8902,8902,293,68963,942,225,40,41,4765,130,599,119300,7781,28,22,2831,908,19,147
865,"Plymouth County, Iowa",25699,25699,25699,1578,81600,3203,675,228,62,13776,256,865,218600,23160,22,0,7587,2710,19,149
866,"Pocahontas County, Iowa",7040,7040,7040,383,63423,732,134,31,13,3542,195,743,93300,6011,18,0,2424,660,19,151
867,"Polk County, Iowa",497441,497441,497441,49816,81621,88699,29974,7102,5354,276461,12093,1113,248400,420593,1920,145,135757,66647,19,153
868,"Pottawattamie County, Iowa",93407,93407,93407,8127,71446,10234,3541,706,538,47338,1815,970,183600,82715,101,11,26403,11128,19,155
869,"Poweshiek County, Iowa",18582,18582,18582,615,64837,2017,820,199,395,9504,465,864,184200,15269,86,0,5507,2284,19,157
870,"Ringgold County, Iowa",4664,4664,4664,93,69821,612,142,32,30,2373,52,745,150300,4077,9,0,1473,396,19,159
871,"Sac County, Iowa",9759,9759,9759,398,70991,1104,233,89,39,5211,176,643,138400,8878,74,0,3317,934,19,161
872,"Scott County, Iowa",174302,174302,174302,12512,76363,26844,12154,2296,1773,90494,3375,958,212500,149288,574,74,50582,22093,19,163
873,"Shelby County, Iowa",11757,11757,11757,440,67690,1319,417,97,92,6023,198,810,156200,10656,18,0,3776,1207,19,165
874,"Sioux County, Iowa",35984,35984,35984,4970,84736,4580,1388,284,233,19468,390,888,235600,31968,118,25,9787,2789,19,167
875,"Story County, Iowa",98592,98592,98592,4943,69006,16019,7066,1427,3503,55369,2764,1019,243600,69776,1047,370,21668,17040,19,169
876,"Tama County, Iowa",16982,16982,16982,1919,67955,1601,436,127,106,8309,330,865,139900,15249,6,0,5146,1585,19,171
877,"Taylor County, Iowa",5901,5901,5901,461,67279,486,125,24,2,2972,100,707,109700,5352,1,0,1921,550,19,173
878,"Union County, Iowa",12038,12038,12038,420,56813,1408,426,68,58,5824,266,683,117800,10657,35,4,3645,1410,19,175
879,"Van Buren County, Iowa",7236,7236,7236,124,60183,683,256,26,16,3363,140,686,118800,6420,1,0,2407,491,19,177
880,"Wapello County, Iowa",35265,35265,35265,4457,60034,2829,1327,408,101,17175,644,950,112900,30637,141,29,9501,4587,19,179
881,"Warren County, Iowa",53484,53484,53484,1854,92990,8040,2633,530,411,28722,871,975,252800,47230,157,0,16786,3433,19,181
882,"Washington County, Iowa",22539,22539,22539,1668,71339,2517,948,170,174,12053,306,862,199600,19838,52,0,6530,2518,19,183
883,"Wayne County, Iowa",6518,6518,6518,84,59118,500,174,22,5,2933,59,660,102300,5848,16,0,2045,509,19,185
884,"Webster County, Iowa",36848,36848,36848,2217,68054,3809,810,308,167,18298,690,762,138500,30835,72,18,10962,4679,19,187
885,"Winnebago County, Iowa",10648,10648,10648,616,63719,1361,337,77,39,5546,154,712,132300,9110,24,14,3414,1177,19,189
886,"Winneshiek County, Iowa",19972,19972,19972,600,75652,2852,837,239,299,11271,257,800,239000,17478,75,8,6259,1938,19,191
887,"Woodbury County, Iowa",105760,105760,105760,19487,70147,10508,4001,748,540,55023,2355,946,172000,95545,525,0,27718,12785,19,193
888,"Worth County, Iowa",7380,7380,7380,249,76875,791,206,56,23,4133,132,703,142300,6691,11,0,2595,600,19,195
889,"Wright County, Iowa",12817,12817,12817,2402,64033,1563,351,83,23,5909,101,788,109800,11348,26,0,3971,1381,19,197
890,"Allen County, Kansas",12491,12491,12491,512,57618,1222,513,50,34,6022,415,685,100400,10324,73,5,3736,1278,20,001
891,"Anderson County, Kansas",7819,7819,7819,127,64925,446,309,44,24,3567,146,792,147900,7027,0,0,2665,622,20,003
892,"Atchison County, Kansas",16211,16211,16211,582,62164,1397,709,69,106,8167,339,756,147900,14288,51,18,4315,1561,20,005
893,"Barber County, Kansas",4153,4153,4153,254,57615,617,99,37,13,2154,49,743,92700,3670,7,0,1469,337,20,007
894,"Barton County, Kansas",25275,25275,25275,4149,56733,2794,723,154,51,12532,411,742,117200,21221,31,0,6768,3451,20,009
895,"Bourbon County, Kansas",14384,14384,14384,432,67555,1564,556,98,76,7036,269,784,107600,12655,7,0,4205,1565,20,011
896,"Brown County, Kansas",9415,9415,9415,416,58886,826,287,32,40,4583,246,675,111100,8364,12,0,2805,914,20,013
897,"Butler County, Kansas",67916,67916,67916,3813,80375,9271,4397,474,518,32910,1023,984,199600,59172,151,9,19571,5454,20,015
898,"Chase County, Kansas",2579,2579,2579,208,54518,417,118,10,3,1208,9,758,106200,2295,3,0,823,322,20,017
899,"Chautauqua County, Kansas",3370,3370,3370,161,54592,326,82,11,23,1454,91,713,63300,3003,0,0,1095,220,20,019
900,"Cherokee County, Kansas",19236,19236,19236,548,58274,1855,696,115,22,9435,336,801,99400,16988,15,0,5596,2131,20,021
901,"Cheyenne County, Kansas",2628,2628,2628,239,55765,294,92,6,10,1285,23,703,119300,2344,0,0,944,242,20,023
902,"Clark County, Kansas",1987,1987,1987,127,65515,319,88,20,3,969,20,771,78400,1752,0,0,615,198,20,025
903,"Clay County, Kansas",8071,8071,8071,264,63136,993,271,50,17,3688,41,911,149600,6802,0,0,2656,973,20,027
904,"Cloud County, Kansas",8973,8973,8973,332,57333,845,413,22,52,4347,183,689,96300,7810,153,41,2741,929,20,029
905,"Coffey County, Kansas",8304,8304,8304,279,67377,849,349,44,15,4070,244,842,139500,7052,3,0,2692,855,20,031
906,"Comanche County, Kansas",1685,1685,1685,31,49417,189,35,9,9,862,21,672,59900,1532,2,2,601,220,20,033
907,"Cowley County, Kansas",34487,34487,34487,4098,58263,3518,1626,89,282,16023,797,779,111600,30217,85,20,9400,3939,20,035
908,"Crawford County, Kansas",38963,38963,38963,2769,50311,4750,2125,249,365,20368,704,837,122400,30817,123,45,9560,6337,20,037
909,"Decatur County, Kansas",2746,2746,2746,112,52030,475,73,40,16,1428,53,695,78500,2459,0,0,1090,283,20,039
910,"Dickinson County, Kansas",18423,18423,18423,998,67982,2001,665,126,68,9216,218,809,148500,16227,141,10,6291,1667,20,041
911,"Doniphan County, Kansas",7492,7492,7492,237,72833,550,362,100,57,3774,57,801,121200,6444,10,5,2184,486,20,043
912,"Douglas County, Kansas",119547,119547,119547,8443,68756,20500,10790,2498,3044,69668,3261,1066,281600,88973,561,226,24725,25214,20,045
913,"Edwards County, Kansas",2817,2817,2817,621,53792,295,82,18,17,1350,63,732,70500,2583,11,0,974,213,20,047
914,"Elk County, Kansas",2464,2464,2464,110,56087,259,98,9,3,1013,35,534,60900,2124,1,0,835,241,20,049
915,"Ellis County, Kansas",28870,28870,28870,2039,59889,4306,1609,352,571,17050,539,899,211100,22490,76,33,7608,4578,20,051
916,"Ellsworth County, Kansas",6366,6366,6366,385,66792,719,304,49,15,2800,80,705,116300,5599,51,0,1899,430,20,053
917,"Finney County, Kansas",38001,38001,38001,19915,72437,2958,1166,171,147,19694,1066,991,191100,31579,314,12,8449,4749,20,055
918,"Ford County, Kansas",34133,34133,34133,19858,70495,2862,1024,212,69,17542,816,960,132700,28041,232,28,7588,4180,20,057
919,"Franklin County, Kansas",25994,25994,25994,1215,72142,2779,1410,204,70,13770,333,949,187400,22401,33,0,7558,2731,20,059
920,"Geary County, Kansas",35895,35895,35895,5811,57344,3040,1478,140,117,13381,799,1119,165000,24771,1398,215,5903,7884,20,061
921,"Gove County, Kansas",2796,2796,2796,37,63203,292,78,21,5,1397,49,730,119000,2608,0,0,926,245,20,063
922,"Graham County, Kansas",2406,2406,2406,90,52909,327,118,21,13,1235,52,726,88800,2164,0,0,953,228,20,065
923,"Grant County, Kansas",7284,7284,7284,3850,72484,694,153,264,0,3662,90,696,146200,6765,0,0,1778,599,20,067
924,"Gray County, Kansas",5696,5696,5696,915,77885,735,137,13,9,2902,62,833,174700,5060,3,0,1667,411,20,069
925,"Greeley County, Kansas",1296,1296,1296,225,78819,179,82,10,7,684,1,915,108900,1112,9,2,411,113,20,071
926,"Greenwood County, Kansas",5956,5956,5956,235,58276,557,188,60,19,2901,80,710,82600,5613,10,0,2070,534,20,073
927,"Hamilton County, Kansas",2485,2485,2485,1034,61929,253,61,2,0,1182,10,778,119700,2157,3,0,625,145,20,075
928,"Harper County, Kansas",5446,5446,5446,421,55417,571,167,36,23,2354,83,693,77300,4780,9,3,1622,583,20,077
929,"Harvey County, Kansas",33823,33823,33823,4104,73269,4788,1801,261,306,17387,727,891,173300,27743,34,1,9371,4107,20,079
930,"Haskell County, Kansas",3695,3695,3695,1112,69138,333,152,24,10,1763,86,776,154800,3208,24,0,1066,318,20,081
931,"Hodgeman County, Kansas",1676,1676,1676,96,63125,274,48,6,0,858,24,900,92700,1563,0,0,540,126,20,083
932,"Jackson County, Kansas",13277,13277,13277,705,72703,1156,647,82,6,6577,116,856,193600,11452,30,5,3986,1114,20,085
933,"Jefferson County, Kansas",18391,18391,18391,616,77393,2015,1023,98,74,9575,226,844,200800,16635,116,0,6282,1108,20,087
934,"Jewell County, Kansas",2909,2909,2909,76,52344,322,68,25,0,1384,6,591,62100,2674,13,0,1023,245,20,089
935,"Johnson County, Kansas",614764,614764,614764,55724,107261,144484,68006,16346,9708,348571,11014,1385,366000,526885,2747,249,167810,76967,20,091
936,"Kearny County, Kansas",3910,3910,3910,1379,74135,278,63,1,15,1781,24,1137,152500,3356,8,0,999,366,20,093
937,"Kingman County, Kansas",7284,7284,7284,289,59819,862,286,55,16,3738,139,807,107400,5940,2,0,2147,941,20,095
938,"Kiowa County, Kansas",2422,2422,2422,104,73214,351,97,7,3,1276,43,728,152400,2129,10,4,708,240,20,097
939,"Labette County, Kansas",19949,19949,19949,998,55439,1960,683,151,80,9319,264,729,92100,17555,26,13,5938,2119,20,099
940,"Lane County, Kansas",1497,1497,1497,231,53042,184,74,2,3,753,4,497,119000,1372,0,0,574,151,20,101
941,"Leavenworth County, Kansas",82493,82493,82493,6027,86906,11965,7161,924,475,36597,1568,1138,260600,64965,1337,59,20475,9279,20,103
942,"Lincoln County, Kansas",2924,2924,2924,123,53546,296,133,22,1,1500,26,604,92600,2656,3,0,966,255,20,105
943,"Linn County, Kansas",9723,9723,9723,284,59200,1080,382,78,14,4549,170,682,164500,8507,0,0,3420,879,20,107
944,"Logan County, Kansas",2720,2720,2720,185,71389,387,81,43,0,1453,18,796,116600,2292,0,0,757,481,20,109
945,"Lyon County, Kansas",32145,32145,32145,7526,59078,3011,1869,242,269,17518,437,796,142200,24519,60,23,7749,5573,20,111
946,"McPherson County, Kansas",30130,30130,30130,1635,77701,4304,1617,242,465,16294,330,889,198400,25465,109,53,9211,2940,20,113
947,"Marion County, Kansas",11795,11795,11795,480,63438,1560,569,77,102,5872,178,727,114400,10238,108,18,3793,899,20,115
948,"Marshall County, Kansas",10001,10001,10001,262,70828,907,259,105,36,5087,93,670,119500,9134,8,0,3385,716,20,117
949,"Meade County, Kansas",3949,3949,3949,915,74868,344,212,12,11,1905,22,799,122000,3203,27,0,1087,409,20,119
950,"Miami County, Kansas",34625,34625,34625,1334,88000,4966,2088,339,203,17890,495,1101,277700,30725,69,0,10503,3029,20,121
951,"Mitchell County, Kansas",5767,5767,5767,118,58233,689,245,63,4,2736,24,653,109600,5143,7,0,1797,770,20,123
952,"Montgomery County, Kansas",31143,31143,31143,2428,53242,3012,1274,144,35,14027,543,759,92100,26230,47,33,9342,3529,20,125
953,"Morris County, Kansas",5388,5388,5388,237,56716,788,227,66,10,2816,56,711,120900,4924,9,0,1978,521,20,127
954,"Morton County, Kansas",2647,2647,2647,613,65625,233,37,34,4,1172,42,637,95600,2474,0,0,745,205,20,129
955,"Nemaha County, Kansas",10213,10213,10213,257,77375,1397,405,153,42,5090,45,726,196100,9223,37,0,3189,858,20,131
956,"Neosho County, Kansas",15715,15715,15715,930,55704,1583,569,49,76,7551,350,650,101200,13980,54,18,4841,1481,20,133
957,"Ness County, Kansas",2659,2659,2659,403,66107,344,56,22,0,1465,15,653,85400,2386,17,7,922,241,20,135
958,"Norton County, Kansas",5392,5392,5392,314,50305,574,157,29,8,2041,13,642,106300,4537,0,0,1561,356,20,137
959,"Osage County, Kansas",15780,15780,15780,512,70216,1604,592,52,63,7744,196,810,142800,14117,17,6,5099,1263,20,139
960,"Osborne County, Kansas",3473,3473,3473,93,59408,426,121,19,11,1810,29,591,84700,3035,8,8,1230,379,20,141
961,"Ottawa County, Kansas",5782,5782,5782,183,76755,744,195,31,14,2936,95,738,164100,5120,11,0,1855,522,20,143
962,"Pawnee County, Kansas",6220,6220,6220,540,63625,622,211,47,34,2870,35,806,102400,5267,0,0,1549,866,20,145
963,"Phillips County, Kansas",4874,4874,4874,160,61235,547,173,40,2,2331,74,621,94700,4388,0,0,1635,547,20,147
964,"Pottawatomie County, Kansas",25808,25808,25808,1508,87694,3829,1481,260,447,12698,242,1011,223000,23326,33,0,7490,1594,20,149
965,"Pratt County, Kansas",9120,9120,9120,755,64348,991,411,108,40,4414,164,810,114500,7509,0,0,2489,1032,20,151
966,"Rawlins County, Kansas",2533,2533,2533,186,65000,247,26,26,18,1372,16,823,99400,2261,16,0,800,366,20,153
967,"Reno County, Kansas",61693,61693,61693,6245,60498,5990,2043,494,187,30346,1192,857,125000,51394,277,4,17540,7804,20,155
968,"Republic County, Kansas",4662,4662,4662,116,53611,546,241,28,19,2195,23,638,76000,4310,2,0,1519,475,20,157
969,"Rice County, Kansas",9389,9389,9389,1282,63947,974,378,62,64,4598,154,717,105500,8077,26,15,2849,845,20,159
970,"Riley County, Kansas",71710,71710,71710,7120,59560,9495,4736,932,2180,36721,1723,1065,231200,53812,967,382,12172,14965,20,161
971,"Rooks County, Kansas",4869,4869,4869,144,61596,638,182,27,11,2471,52,679,90000,4199,46,0,1592,550,20,163
972,"Rush County, Kansas",2957,2957,2957,160,60288,343,99,6,9,1527,78,700,79300,2505,13,0,1100,282,20,165
973,"Russell County, Kansas",6717,6717,6717,271,53902,604,208,37,19,3500,65,722,106400,5969,19,0,2369,730,20,167
974,"Saline County, Kansas",53801,53801,53801,6715,63316,7103,2446,688,413,28634,1029,915,171900,45510,152,0,14894,7405,20,169
975,"Scott County, Kansas",5071,5071,5071,1024,67788,755,222,75,95,2693,30,861,170100,4246,0,0,1154,1036,20,171
976,"Sedgwick County, Kansas",524810,524810,524810,84671,67675,69501,30068,5384,3480,265730,13890,977,190700,437876,2534,172,127693,77331,20,173
977,"Seward County, Kansas",21640,21640,21640,14418,62269,1211,306,49,35,10904,462,924,134000,18661,108,44,4414,2794,20,175
978,"Shawnee County, Kansas",178315,178315,178315,24244,66043,24507,10822,2348,1616,88336,3673,970,170400,154001,369,94,49921,24607,20,177
979,"Sheridan County, Kansas",2442,2442,2442,145,70000,277,99,13,10,1302,8,663,152000,2144,0,0,771,251,20,179
980,"Sherman County, Kansas",5919,5919,5919,766,64444,710,178,19,49,3177,12,852,126300,4634,0,0,1568,790,20,181
981,"Smith County, Kansas",3579,3579,3579,40,57024,495,104,36,19,1784,29,601,91000,3230,3,0,1310,268,20,183
982,"Stafford County, Kansas",4004,4004,4004,534,63786,548,141,35,1,2016,52,613,96700,3382,0,0,1314,284,20,185
983,"Stanton County, Kansas",2018,2018,2018,908,70361,216,92,1,0,952,21,691,64200,1890,66,0,665,157,20,187
984,"Stevens County, Kansas",5212,5212,5212,2016,61909,362,123,36,8,2411,108,930,124500,4759,0,0,1306,483,20,189
985,"Sumner County, Kansas",22386,22386,22386,1320,60348,2661,1141,164,85,10633,633,829,118700,20003,35,0,6676,2298,20,191
986,"Thomas County, Kansas",7913,7913,7913,639,73575,1045,281,115,52,4242,6,753,165900,6535,33,10,2373,728,20,193
987,"Trego County, Kansas",2778,2778,2778,5,73375,466,100,33,13,1491,16,694,115400,2630,0,0,1049,297,20,195
988,"Wabaunsee County, Kansas",6961,6961,6961,322,70536,813,361,73,28,3436,137,771,178200,6373,1,0,2086,530,20,197
989,"Wallace County, Kansas",1459,1459,1459,91,60263,187,23,16,3,720,9,578,94200,1258,2,0,478,182,20,199
990,"Washington County, Kansas",5519,5519,5519,258,62452,609,166,49,66,2616,40,547,106100,5030,7,0,1852,519,20,201
991,"Wichita County, Kansas",2115,2115,2115,628,71282,202,66,4,4,957,5,738,98700,1792,31,0,714,164,20,203
992,"Wilson County, Kansas",8559,8559,8559,310,57056,944,269,31,19,4032,143,727,93900,7751,2,0,2610,905,20,205
993,"Woodson County, Kansas",3118,3118,3118,23,48152,375,152,0,6,1353,34,597,77100,2800,27,0,1024,202,20,207
994,"Wyandotte County, Kansas",167277,167277,167277,55765,60582,13650,6279,1129,651,82734,4467,1070,152700,141642,875,71,37573,23668,20,209
995,"Adair County, Kentucky",19016,19016,19016,626,50316,1260,770,181,191,8348,646,775,134800,16079,38,34,5325,1661,21,001
996,"Allen County, Kentucky",21029,21029,21029,584,59029,1509,834,115,88,9731,733,750,176300,19006,14,0,6026,1826,21,003
997,"Anderson County, Kentucky",24098,24098,24098,578,71747,2898,1064,177,151,11440,294,870,213200,21323,52,0,7402,2094,21,005
998,"Ballard County, Kentucky",7678,7678,7678,110,64740,712,268,21,27,3476,143,826,132900,7078,31,0,2488,633,21,007
999,"Barren County, Kentucky",44670,44670,44670,1904,49171,3411,1564,341,181,19386,936,784,166900,39137,15,0,11711,6261,21,009
1000,"Bath County, Kentucky",12812,12812,12812,227,54128,737,414,69,7,5132,205,600,111800,11328,14,0,3453,1290,21,011
1001,"Bell County, Kentucky",23878,23878,23878,177,32403,1489,534,250,70,7973,838,617,83000,21337,41,29,5817,3709,21,013
1002,"Boone County, Kentucky",137676,137676,137676,7827,94752,20422,8808,1883,1030,72762,2071,1253,253200,118610,784,63,38593,11748,21,015
1003,"Bourbon County, Kentucky",20174,20174,20174,1523,56322,2085,969,361,120,9417,413,745,211600,18440,48,5,5269,2859,21,017
1004,"Boyd County, Kentucky",48043,48043,48043,816,60659,3572,2366,477,233,20592,1355,839,126300,40696,176,31,13006,6010,21,019
1005,"Boyle County, Kentucky",30708,30708,30708,1438,61635,3244,1896,403,128,13795,812,770,200700,26056,54,5,8200,3606,21,021
1006,"Bracken County, Kentucky",8427,8427,8427,78,59521,540,402,42,7,3937,218,748,116400,7998,11,0,2533,730,21,023
1007,"Breathitt County, Kentucky",13438,13438,13438,155,41101,805,633,142,26,5038,469,543,61800,12219,15,0,4112,1420,21,025
1008,"Breckinridge County, Kentucky",20722,20722,20722,327,53673,1364,513,150,104,8750,456,730,141400,19050,10,0,6272,1375,21,027
1009,"Bullitt County, Kentucky",83209,83209,83209,2401,77640,7318,3237,396,259,44194,1818,973,233700,77092,31,0,26367,5058,21,029
1010,"Butler County, Kentucky",12373,12373,12373,616,52003,441,323,62,0,5054,214,688,105500,10822,18,18,3336,1225,21,031
1011,"Caldwell County, Kentucky",12631,12631,12631,299,57618,945,549,75,22,5637,158,724,113500,11581,0,0,3723,1464,21,033
1012,"Calloway County, Kentucky",37882,37882,37882,1314,51854,4131,2634,380,412,18371,800,828,181200,30960,187,11,9608,5478,21,035
1013,"Campbell County, Kentucky",93193,93193,93193,2362,77271,15916,6963,1960,976,50067,1846,1079,234500,79863,272,54,27867,11365,21,037
1014,"Carlisle County, Kentucky",4763,4763,4763,133,62019,284,164,22,14,2091,88,792,104700,3975,24,0,1527,349,21,039
1015,"Carroll County, Kentucky",10878,10878,10878,796,57753,403,161,52,19,4671,324,853,129800,9709,19,0,2624,1463,21,041
1016,"Carter County, Kentucky",26515,26515,26515,289,50389,1573,827,249,171,10220,421,701,126100,23940,5,0,8136,2235,21,043
1017,"Casey County, Kentucky",15951,15951,15951,532,41689,743,417,90,53,6032,539,645,135700,14070,78,18,4885,1332,21,045
1018,"Christian County, Kentucky",72599,72599,72599,6120,54190,5717,2024,321,239,25660,1991,999,149200,58997,429,227,13394,12282,21,047
1019,"Clark County, Kentucky",37004,37004,37004,1493,67824,3625,1638,341,175,17810,862,883,197900,31975,31,0,10675,4259,21,049
1020,"Clay County, Kentucky",20105,20105,20105,244,39607,1086,853,411,59,7088,724,698,87300,17271,11,0,5567,1611,21,051
1021,"Clinton County, Kentucky",9240,9240,9240,280,42168,586,344,90,66,4132,233,629,114000,8387,0,0,2726,1036,21,053
1022,"Crittenden County, Kentucky",8972,8972,8972,216,47003,434,249,109,4,3633,122,618,115700,8187,0,0,2756,797,21,055
1023,"Cumberland County, Kentucky",5948,5948,5948,107,39662,403,247,59,47,2161,65,553,128600,5138,0,0,1756,674,21,057
1024,"Daviess County, Kentucky",103195,103195,103195,4175,65323,10431,5250,1154,671,49829,2215,906,185800,89523,292,73,27479,13678,21,059
1025,"Edmonson County, Kentucky",12243,12243,12243,195,54512,514,343,46,36,5140,350,739,136600,10900,25,23,4106,849,21,061
1026,"Elliott County, Kentucky",7336,7336,7336,148,40074,198,128,19,4,2040,137,427,97400,6542,11,0,1907,382,21,063
1027,"Estill County, Kentucky",14079,14079,14079,131,43905,666,267,23,45,5479,395,689,111900,12860,0,0,4269,1631,21,065
1028,"Fayette County, Kentucky",321122,321122,321122,29571,67631,55502,27043,9042,7548,177301,8866,1101,272100,252402,2514,384,73881,63922,21,067
1029,"Fleming County, Kentucky",15221,15221,15221,238,49663,1028,565,74,29,6465,448,677,115200,14005,5,0,4369,1410,21,069
1030,"Floyd County, Kentucky",35342,35342,35342,330,41582,2144,1322,291,16,12468,888,713,93300,32018,34,0,10429,4031,21,071
1031,"Franklin County, Kentucky",51563,51563,51563,2109,66470,6690,3612,871,367,25842,1456,946,198700,42814,260,0,14514,8034,21,073
1032,"Fulton County, Kentucky",6440,6440,6440,86,36834,628,134,10,9,2337,170,542,78100,5402,9,0,1598,896,21,075
1033,"Gallatin County, Kentucky",8749,8749,8749,472,62247,539,154,97,2,4191,146,858,169400,7884,9,0,2386,864,21,077
1034,"Garrard County, Kentucky",17346,17346,17346,468,62572,1225,772,257,98,7858,480,793,186800,15643,23,10,5284,1341,21,079
1035,"Grant County, Kentucky",25238,25238,25238,799,67940,1534,766,119,39,12199,578,855,185500,23021,0,0,6813,2422,21,081
1036,"Graves County, Kentucky",36612,36612,36612,2838,50576,2482,1293,343,220,15956,638,713,139000,32414,83,24,10810,3342,21,083
1037,"Grayson County, Kentucky",26586,26586,26586,409,49893,1371,697,339,270,11587,587,653,160100,23948,3,0,7448,2324,21,085
1038,"Green County, Kentucky",11278,11278,11278,260,41087,698,509,112,42,4775,404,612,118900,9962,70,15,3364,1030,21,087
1039,"Greenup County, Kentucky",35639,35639,35639,386,59613,2536,1439,447,252,14434,832,836,135300,31958,114,4,11754,2846,21,089
1040,"Hancock County, Kentucky",9032,9032,9032,63,66836,668,227,85,52,4141,160,752,137600,8121,1,0,2773,764,21,091
